Start;End;Sleep quality;Time in bed
2013-09-16 01:55:23;2013-09-16 08:30:55;59%;6:35
2013-09-17 02:26:23;2013-09-17 08:49:50;70%;6:23
2013-09-19 01:37:23;2013-09-19 10:49:42;80%;9:12
2013-09-20 06:39:42;2013-09-20 12:47:30;73%;6:07
2013-09-21 02:41:19;2013-09-21 07:02:06;50%;4:20
2013-09-22 02:11:15;2013-09-22 07:26:23;49%;5:15
2013-09-23 02:19:35;2013-09-23 09:38:21;84%;7:18
2013-09-24 01:58:57;2013-09-24 10:26:01;96%;8:27
2013-09-25 05:35:40;2013-09-25 09:42:14;42%;4:06
2013-09-26 01:58:05;2013-09-26 11:39:08;70%;9:41
2013-09-27 03:30:06;2013-09-27 10:16:19;74%;6:46
2013-09-28 03:27:40;2013-09-28 11:35:50;89%;8:08
2013-09-29 04:48:16;2013-09-29 13:26:51;95%;8:38
2013-09-30 04:26:38;2013-09-30 09:30:16;38%;5:03
